filepath,filename,species,split,source_wav,ogg_quality
train/Asian Koel/xc893845_39478.ogg,xc893845_39478.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc893845_39478.wav,2
train/Asian Koel/xc995636_22872.ogg,xc995636_22872.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc995636_22872.wav,2
train/Asian Koel/xc78435_70228.ogg,xc78435_70228.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc78435_70228.wav,2
train/Asian Koel/xc78435_31457.ogg,xc78435_31457.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc78435_31457.wav,2
train/Asian Koel/xc591315_19111.ogg,xc591315_19111.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc591315_19111.wav,2
train/Asian Koel/xc788672_869.ogg,xc788672_869.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc788672_869.wav,2
train/Asian Koel/xc196584_43543.ogg,xc196584_43543.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc196584_43543.wav,2
train/Asian Koel/xc35804_3475.ogg,xc35804_3475.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc35804_3475.wav,2
train/Asian Koel/xc808437_35000.ogg,xc808437_35000.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc808437_35000.wav,2
train/Asian Koel/xc594949_5753.ogg,xc594949_5753.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc594949_5753.wav,2
train/Asian Koel/xc181992_12077.ogg,xc181992_12077.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc181992_12077.wav,2
train/Asian Koel/xc531612_18000.ogg,xc531612_18000.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc531612_18000.wav,2
train/Asian Koel/xc917586_8491.ogg,xc917586_8491.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc917586_8491.wav,2
train/Asian Koel/xc812731_12804.ogg,xc812731_12804.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc812731_12804.wav,2
train/Asian Koel/xc414018_511.ogg,xc414018_511.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc414018_511.wav,2
train/Asian Koel/xc305691_4165.ogg,xc305691_4165.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc305691_4165.wav,2
train/Asian Koel/xc786438_3383.ogg,xc786438_3383.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc786438_3383.wav,2
train/Asian Koel/xc761690_50724.ogg,xc761690_50724.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc761690_50724.wav,2
train/Asian Koel/xc893846_14402.ogg,xc893846_14402.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc893846_14402.wav,2
train/Asian Koel/xc696208_294.ogg,xc696208_294.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc696208_294.wav,2
train/Asian Koel/xc995636_10005.ogg,xc995636_10005.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc995636_10005.wav,2
train/Asian Koel/xc78435_4356.ogg,xc78435_4356.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc78435_4356.wav,2
train/Asian Koel/xc594951_36005.ogg,xc594951_36005.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc594951_36005.wav,2
train/Asian Koel/xc812731_23831.ogg,xc812731_23831.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc812731_23831.wav,2
train/Asian Koel/xc547505_42499.ogg,xc547505_42499.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc547505_42499.wav,2
train/Asian Koel/xc78434_9499.ogg,xc78434_9499.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc78434_9499.wav,2
train/Asian Koel/xc963858_6351.ogg,xc963858_6351.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc963858_6351.wav,2
train/Asian Koel/xc635320_33009.ogg,xc635320_33009.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc635320_33009.wav,2
train/Asian Koel/xc400194_30872.ogg,xc400194_30872.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc400194_30872.wav,2
train/Asian Koel/xc161968_6840.ogg,xc161968_6840.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc161968_6840.wav,2
train/Asian Koel/xc594949_8753.ogg,xc594949_8753.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc594949_8753.wav,2
train/Asian Koel/xc426538_9812.ogg,xc426538_9812.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc426538_9812.wav,2
train/Asian Koel/xc591315_33306.ogg,xc591315_33306.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc591315_33306.wav,2
train/Asian Koel/xc518843_6179.ogg,xc518843_6179.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc518843_6179.wav,2
train/Asian Koel/xc1029034_49966.ogg,xc1029034_49966.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc1029034_49966.wav,2
train/Asian Koel/xc73024_41897.ogg,xc73024_41897.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc73024_41897.wav,2
train/Asian Koel/xc672602_6736.ogg,xc672602_6736.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc672602_6736.wav,2
train/Asian Koel/xc812732_15705.ogg,xc812732_15705.ogg,Asian Koel,train,mygardenbird_download_cache/extracted_16k/mygardenbird16khz/Asian Koel/xc812732_15705.wav,2
