filename,species,split,label
xc956376_22871.wav,White-breasted Waterhen,train,9
xc748185_39502.wav,Spotted Dove,train,8
xc788042_2998.wav,Common Tailorbird,train,3
xc164692_8389.wav,Collared Kingfisher,train,1
xc710635_3938.wav,Spotted Dove,train,8
xc35654_2177.wav,Common Iora,train,2
xc858215_6356.wav,Olive-backed Sunbird,train,6
xc197869_611.wav,Common Iora,train,2
xc717548_981.wav,Asian Koel,train,0
xc1071873_45871.wav,Pied Fantail,train,7
xc311306_22741.wav,White-throated Kingfisher,train,10
xc620130_6139.wav,Coppersmith Barbet,train,4
xc19752_1292.wav,Large-tailed Nightjar,train,5
xc179229_68687.wav,Asian Koel,train,0
xc906828_2593.wav,White-breasted Waterhen,train,9
xc35653_26824.wav,Common Iora,train,2
xc397623_12046.wav,Olive-backed Sunbird,train,6
xc547506_11695.wav,White-throated Kingfisher,train,10
xc971698_28.wav,Coppersmith Barbet,train,4
xc616401_32111.wav,Yellow-vented Bulbul,train,11
xc595461_108.wav,Spotted Dove,train,8
xc987419_10959.wav,White-throated Kingfisher,train,10
xc290932_58485.wav,Olive-backed Sunbird,train,6
xc290513_9402.wav,Asian Koel,train,0
xc835407_9031.wav,Olive-backed Sunbird,train,6
xc150003_9071.wav,Yellow-vented Bulbul,train,11
xc311271_14109.wav,Asian Koel,train,0
xc902374_36849.wav,Common Iora,train,2
xc533623_18790.wav,White-throated Kingfisher,train,10
xc533623_37923.wav,White-throated Kingfisher,train,10
xc600906_17360.wav,Common Iora,train,2
xc575558_17149.wav,Collared Kingfisher,train,1
xc187429_18483.wav,Common Iora,train,2
xc190962_51335.wav,Spotted Dove,train,8
xc161163_12598.wav,Coppersmith Barbet,train,4
xc40038_6448.wav,Olive-backed Sunbird,train,6
xc187343_25195.wav,Yellow-vented Bulbul,train,11
xc787532_5632.wav,Pied Fantail,train,7
xc369243_25463.wav,White-throated Kingfisher,train,10
xc835409_14413.wav,Olive-backed Sunbird,train,6
xc671743_3149.wav,Coppersmith Barbet,train,4
xc42618_986.wav,Collared Kingfisher,train,1
xc498802_12998.wav,White-throated Kingfisher,train,10
xc1019748_44942.wav,Spotted Dove,train,8
xc810648_5915.wav,Large-tailed Nightjar,train,5
xc78288_3118.wav,Spotted Dove,train,8
xc583630_10098.wav,White-breasted Waterhen,train,9
xc862635_11392.wav,Asian Koel,train,0
xc290679_19799.wav,Common Iora,train,2
xc649544_48158.wav,Pied Fantail,train,7
xc269431_27712.wav,Olive-backed Sunbird,train,6
xc426432_1019.wav,Large-tailed Nightjar,train,5
xc86947_14737.wav,Collared Kingfisher,train,1
xc940167_28800.wav,Collared Kingfisher,train,1
xc216876_15867.wav,Common Iora,train,2
xc152652_19313.wav,White-breasted Waterhen,train,9
xc474093_3000.wav,Spotted Dove,train,8
xc845720_23462.wav,White-throated Kingfisher,train,10
xc956418_7666.wav,White-breasted Waterhen,train,9
xc897847_16097.wav,Common Tailorbird,train,3
xc20267_11843.wav,Asian Koel,train,0
xc607934_8827.wav,Pied Fantail,train,7
xc359639_2505.wav,Olive-backed Sunbird,train,6
xc665269_27449.wav,Coppersmith Barbet,train,4
xc620131_23228.wav,Coppersmith Barbet,train,4
xc756512_3270.wav,Yellow-vented Bulbul,train,11
xc1041026_27256.wav,Asian Koel,train,0
xc616402_40651.wav,Yellow-vented Bulbul,train,11
xc196143_2204.wav,Yellow-vented Bulbul,train,11
xc616402_34163.wav,Yellow-vented Bulbul,train,11
xc197869_8321.wav,Common Iora,train,2
xc1030707_28127.wav,Common Tailorbird,train,3
xc732059_15479.wav,Spotted Dove,train,8
xc835395_11687.wav,Olive-backed Sunbird,train,6
xc365384_32742.wav,Coppersmith Barbet,train,4
xc365385_53826.wav,White-throated Kingfisher,train,10
xc893348_35713.wav,Common Tailorbird,train,3
xc151312_32537.wav,Common Iora,train,2
xc192027_12384.wav,Collared Kingfisher,train,1
xc906272_50251.wav,Common Iora,train,2
xc290679_6248.wav,Common Iora,train,2
xc963858_6351.wav,Asian Koel,train,0
xc845311_3279.wav,White-breasted Waterhen,train,9
xc788329_31002.wav,Common Iora,train,2
xc59702_0.wav,Yellow-vented Bulbul,train,11
xc192165_27508.wav,Pied Fantail,train,7
xc919673_50530.wav,Common Tailorbird,train,3
xc187343_15803.wav,Yellow-vented Bulbul,train,11
xc151312_14112.wav,Common Iora,train,2
xc96539_4283.wav,Common Iora,train,2
xc353099_23777.wav,Large-tailed Nightjar,train,5
xc26252_29399.wav,Common Iora,train,2
xc978467_27229.wav,Collared Kingfisher,train,1
xc810645_1546.wav,Large-tailed Nightjar,train,5
xc782697_23947.wav,Yellow-vented Bulbul,train,11
xc857059_30169.wav,Coppersmith Barbet,train,4
xc185772_56799.wav,Yellow-vented Bulbul,train,11
xc721129_7435.wav,Spotted Dove,train,8
xc149687_22285.wav,Coppersmith Barbet,train,4
xc755258_9149.wav,Large-tailed Nightjar,train,5
xc362047_13253.wav,Large-tailed Nightjar,train,5
xc957165_12621.wav,Large-tailed Nightjar,train,5
xc402013_52441.wav,Collared Kingfisher,train,1
xc26251_34935.wav,Common Iora,train,2
xc580882_6046.wav,Yellow-vented Bulbul,train,11
xc19647_89.wav,Common Tailorbird,train,3
xc161258_60391.wav,Spotted Dove,train,8
xc597327_23725.wav,Large-tailed Nightjar,train,5
xc995636_10005.wav,Asian Koel,train,0
xc910592_38477.wav,White-breasted Waterhen,train,9
xc835409_8073.wav,Olive-backed Sunbird,train,6
xc555514_14979.wav,Common Tailorbird,train,3
xc977990_781.wav,Collared Kingfisher,train,1
xc530839_20875.wav,Coppersmith Barbet,train,4
xc782696_7644.wav,Collared Kingfisher,train,1
xc311308_9402.wav,White-throated Kingfisher,train,10
xc477488_9186.wav,Yellow-vented Bulbul,train,11
xc205792_9981.wav,Collared Kingfisher,train,1
xc711521_22074.wav,Common Iora,train,2
xc595461_24650.wav,Spotted Dove,train,8
xc461218_43606.wav,Yellow-vented Bulbul,train,11
xc213367_33214.wav,White-throated Kingfisher,train,10
xc214418_53414.wav,Common Iora,train,2
xc956393_9285.wav,White-breasted Waterhen,train,9
xc541302_2579.wav,Yellow-vented Bulbul,train,11
xc933063_4603.wav,Olive-backed Sunbird,train,6
xc582931_9583.wav,Pied Fantail,train,7
xc197605_27864.wav,White-throated Kingfisher,train,10
xc823426_51800.wav,Pied Fantail,train,7
xc1038548_3285.wav,Pied Fantail,train,7
xc956392_45703.wav,White-breasted Waterhen,train,9
xc166251_37767.wav,Asian Koel,train,0
xc802979_53835.wav,Yellow-vented Bulbul,train,11
xc877083_185.wav,White-throated Kingfisher,train,10
xc756510_63612.wav,Yellow-vented Bulbul,train,11
xc244136_4609.wav,White-throated Kingfisher,train,10
xc68831_21697.wav,Olive-backed Sunbird,train,6
xc934683_30897.wav,Pied Fantail,train,7
xc192027_7760.wav,Collared Kingfisher,train,1
xc1029676_50085.wav,Common Iora,train,2
xc531612_3000.wav,Asian Koel,train,0
xc797864_1630.wav,Coppersmith Barbet,train,4
xc956426_32503.wav,White-breasted Waterhen,train,9
xc216876_8861.wav,Common Iora,train,2
xc68676_22824.wav,Coppersmith Barbet,train,4
xc290641_34257.wav,Yellow-vented Bulbul,train,11
xc723978_17653.wav,Common Tailorbird,train,3
xc871033_27692.wav,Pied Fantail,train,7
xc92076_4157.wav,Common Iora,train,2
xc938419_201.wav,Olive-backed Sunbird,train,6
xc151312_4476.wav,Common Iora,train,2
xc1029676_24792.wav,Common Iora,train,2
xc164689_28893.wav,Collared Kingfisher,train,1
xc754470_7574.wav,Common Tailorbird,train,3
xc936859_60260.wav,Pied Fantail,train,7
xc1041026_32201.wav,Asian Koel,train,0
xc720544_16427.wav,White-throated Kingfisher,train,10
xc782712_18971.wav,Yellow-vented Bulbul,train,11
xc21133_16965.wav,Common Tailorbird,train,3
xc835388_25271.wav,Olive-backed Sunbird,train,6
xc897847_23584.wav,Common Tailorbird,train,3
xc723482_9185.wav,Spotted Dove,train,8
xc68830_29443.wav,Olive-backed Sunbird,train,6
xc862837_35741.wav,Common Tailorbird,train,3
xc217355_651.wav,Collared Kingfisher,train,1
xc290697_1298.wav,Common Tailorbird,train,3
xc343311_0.wav,Pied Fantail,train,7
xc619116_27001.wav,Olive-backed Sunbird,train,6
xc325283_9487.wav,Collared Kingfisher,train,1
xc1050124_2408.wav,Coppersmith Barbet,train,4
xc68830_4902.wav,Olive-backed Sunbird,train,6
xc841872_7452.wav,Spotted Dove,train,8
xc748185_35077.wav,Spotted Dove,train,8
xc436748_317.wav,White-throated Kingfisher,train,10
xc797030_38035.wav,Yellow-vented Bulbul,train,11
xc167084_7109.wav,Yellow-vented Bulbul,train,11
xc365385_47482.wav,White-throated Kingfisher,train,10
xc183486_95564.wav,Common Tailorbird,train,3
xc835388_22264.wav,Olive-backed Sunbird,train,6
xc530844_9927.wav,Coppersmith Barbet,train,4
xc38821_3627.wav,Common Iora,train,2
xc963967_34717.wav,Large-tailed Nightjar,train,5
xc268331_15264.wav,Common Iora,train,2
xc1006540_281.wav,Common Tailorbird,train,3
xc984319_27760.wav,Large-tailed Nightjar,train,5
xc896209_25925.wav,Collared Kingfisher,train,1
xc600906_20847.wav,Common Iora,train,2
xc842519_3000.wav,White-breasted Waterhen,train,9
xc192026_15414.wav,Collared Kingfisher,train,1
xc721251_21021.wav,Pied Fantail,train,7
xc956418_25510.wav,White-breasted Waterhen,train,9
xc1048464_3272.wav,Pied Fantail,train,7
xc547513_26418.wav,Common Tailorbird,train,3
xc369566_6704.wav,Collared Kingfisher,train,1
xc730877_7149.wav,Pied Fantail,train,7
xc171263_16923.wav,Common Tailorbird,train,3
xc124365_9155.wav,Large-tailed Nightjar,train,5
xc207964_11001.wav,Olive-backed Sunbird,train,6
xc986635_9000.wav,Olive-backed Sunbird,train,6
xc1030462_15626.wav,White-breasted Waterhen,train,9
xc787531_52117.wav,Pied Fantail,train,7
xc166850_327.wav,Collared Kingfisher,train,1
xc350583_20762.wav,Pied Fantail,train,7
xc161477_19181.wav,Common Iora,train,2
xc756511_72664.wav,Yellow-vented Bulbul,train,11
xc649545_16616.wav,Pied Fantail,train,7
xc583144_18031.wav,White-breasted Waterhen,train,9
xc987636_3974.wav,Common Tailorbird,train,3
xc834669_27071.wav,Common Tailorbird,train,3
xc845705_66687.wav,Olive-backed Sunbird,train,6
xc721346_13076.wav,Common Tailorbird,train,3
xc166251_25002.wav,Asian Koel,train,0
xc501959_138386.wav,Yellow-vented Bulbul,train,11
xc707529_1122.wav,Common Iora,train,2
xc767766_11936.wav,White-breasted Waterhen,train,9
xc937130_13861.wav,Pied Fantail,train,7
xc151136_10485.wav,Collared Kingfisher,train,1
xc167083_15470.wav,Yellow-vented Bulbul,train,11
xc841872_29369.wav,Spotted Dove,train,8
xc619116_665.wav,Olive-backed Sunbird,train,6
xc204069_27262.wav,Yellow-vented Bulbul,train,11
xc88719_40219.wav,Common Iora,train,2
xc834670_19209.wav,Common Tailorbird,train,3
xc426432_17182.wav,Large-tailed Nightjar,train,5
xc616994_12055.wav,Asian Koel,train,0
xc616396_18000.wav,Olive-backed Sunbird,train,6
xc124350_51567.wav,Common Iora,train,2
xc720544_35930.wav,White-throated Kingfisher,train,10
xc827000_23389.wav,Common Iora,train,2
xc956403_6670.wav,White-breasted Waterhen,train,9
xc1029676_28658.wav,Common Iora,train,2
xc1046270_17710.wav,Spotted Dove,train,8
xc24588_3229.wav,Pied Fantail,train,7
xc834666_30442.wav,Common Tailorbird,train,3
xc956404_64959.wav,White-breasted Waterhen,train,9
xc706576_35847.wav,Common Iora,train,2
xc845720_56376.wav,White-throated Kingfisher,train,10
xc439490_15239.wav,Yellow-vented Bulbul,train,11
xc161258_43324.wav,Spotted Dove,train,8
xc297269_24483.wav,Common Iora,train,2
xc578004_38278.wav,Yellow-vented Bulbul,train,11
xc717548_9788.wav,Asian Koel,train,0
xc786033_5364.wav,Asian Koel,train,0
xc447294_17362.wav,White-breasted Waterhen,train,9
xc35836_353.wav,Olive-backed Sunbird,train,6
xc185648_17854.wav,Spotted Dove,train,8
xc343310_26587.wav,Pied Fantail,train,7
xc1002930_20630.wav,Spotted Dove,train,8
xc359359_14491.wav,Coppersmith Barbet,train,4
xc461218_15966.wav,Yellow-vented Bulbul,train,11
xc812731_61149.wav,Asian Koel,train,0
xc477488_3186.wav,Yellow-vented Bulbul,train,11
xc721129_19435.wav,Spotted Dove,train,8
xc1003535_0.wav,Spotted Dove,train,8
xc956391_46743.wav,White-breasted Waterhen,train,9
xc893348_9711.wav,Common Tailorbird,train,3
xc721129_10435.wav,Spotted Dove,train,8
xc269435_28587.wav,Collared Kingfisher,train,1
xc664308_7801.wav,Common Iora,train,2
xc183486_82045.wav,Common Tailorbird,train,3
xc988109_27124.wav,Large-tailed Nightjar,train,5
xc530839_17557.wav,Coppersmith Barbet,train,4
xc802979_21645.wav,Yellow-vented Bulbul,train,11
xc842013_24000.wav,Coppersmith Barbet,train,4
xc31621_8405.wav,White-throated Kingfisher,train,10
xc971698_6028.wav,Coppersmith Barbet,train,4
xc25978_20382.wav,Large-tailed Nightjar,train,5
xc879491_20971.wav,Spotted Dove,train,8
xc214418_12588.wav,Common Iora,train,2
xc956355_15450.wav,White-breasted Waterhen,train,9
xc1005485_8968.wav,Asian Koel,train,0
xc213367_24740.wav,White-throated Kingfisher,train,10
xc207665_351.wav,White-throated Kingfisher,train,10
xc710634_22094.wav,Spotted Dove,train,8
xc181992_20332.wav,Asian Koel,train,0
xc812737_14279.wav,Asian Koel,train,0
xc460165_16364.wav,White-throated Kingfisher,train,10
xc956376_25871.wav,White-breasted Waterhen,train,9
xc956691_526.wav,Large-tailed Nightjar,train,5
xc125392_46845.wav,White-throated Kingfisher,train,10
xc516499_5386.wav,Common Iora,train,2
xc841872_2486.wav,Spotted Dove,train,8
xc311399_337.wav,Common Tailorbird,train,3
xc152651_19459.wav,Pied Fantail,train,7
xc802979_26410.wav,Yellow-vented Bulbul,train,11
xc314337_5340.wav,Asian Koel,train,0
xc189123_0.wav,White-throated Kingfisher,train,10
xc883918_810.wav,Common Tailorbird,train,3
xc27261_3015.wav,Coppersmith Barbet,train,4
xc724736_15158.wav,Spotted Dove,train,8
xc838780_10852.wav,Olive-backed Sunbird,train,6
xc953307_2543.wav,Asian Koel,train,0
xc842519_9000.wav,White-breasted Waterhen,train,9
xc501959_273068.wav,Yellow-vented Bulbul,train,11
xc461218_12966.wav,Yellow-vented Bulbul,train,11
xc1005908_412.wav,Coppersmith Barbet,train,4
xc828236_13336.wav,Large-tailed Nightjar,train,5
xc875644_345.wav,Coppersmith Barbet,train,4
xc635320_37187.wav,Asian Koel,train,0
xc161439_0.wav,Coppersmith Barbet,train,4
xc284524_7081.wav,White-breasted Waterhen,train,9
xc204552_13996.wav,Olive-backed Sunbird,train,6
xc174985_1219.wav,Common Iora,train,2
xc369566_9708.wav,Collared Kingfisher,train,1
xc594951_762.wav,Asian Koel,train,0
xc369243_5490.wav,White-throated Kingfisher,train,10
xc1005668_46.wav,Common Tailorbird,train,3
xc914094_19212.wav,Coppersmith Barbet,train,4
xc834668_24298.wav,Common Tailorbird,train,3
xc443314_9718.wav,Coppersmith Barbet,train,4
xc507731_7547.wav,Large-tailed Nightjar,train,5
xc325283_46.wav,Collared Kingfisher,train,1
xc555515_12856.wav,Common Tailorbird,train,3
xc956003_9000.wav,Common Tailorbird,train,3
xc314339_375.wav,Asian Koel,train,0
xc735667_26319.wav,Asian Koel,train,0
xc290555_15108.wav,Collared Kingfisher,train,1
xc621217_1621.wav,Pied Fantail,train,7
xc597327_11897.wav,Large-tailed Nightjar,train,5
xc835388_8834.wav,Olive-backed Sunbird,train,6
xc834670_13902.wav,Common Tailorbird,train,3
xc954971_7473.wav,Coppersmith Barbet,train,4
xc73022_39913.wav,Asian Koel,train,0
xc461513_29789.wav,Large-tailed Nightjar,train,5
xc973481_81576.wav,Large-tailed Nightjar,train,5
xc657958_866.wav,Common Tailorbird,train,3
xc595428_21760.wav,Common Iora,train,2
xc937630_23816.wav,Asian Koel,train,0
xc161258_326.wav,Spotted Dove,train,8
xc797696_2156.wav,Large-tailed Nightjar,train,5
xc788329_17779.wav,Common Iora,train,2
xc1074030_0.wav,Coppersmith Barbet,train,4
xc938488_0.wav,Yellow-vented Bulbul,train,11
xc756510_44854.wav,Yellow-vented Bulbul,train,11
xc724545_3949.wav,Collared Kingfisher,train,1
xc534388_8064.wav,Asian Koel,train,0
xc954971_3805.wav,Coppersmith Barbet,train,4
xc952352_9919.wav,Coppersmith Barbet,train,4
xc724411_27146.wav,White-breasted Waterhen,train,9
xc785098_3000.wav,Pied Fantail,train,7
xc81310_0.wav,Spotted Dove,train,8
xc68678_28072.wav,Coppersmith Barbet,train,4
xc999942_29099.wav,Spotted Dove,train,8
xc161885_9085.wav,Yellow-vented Bulbul,train,11
xc196949_6481.wav,White-throated Kingfisher,train,10
xc787531_44707.wav,Pied Fantail,train,7
xc835395_3369.wav,Olive-backed Sunbird,train,6
xc812796_0.wav,Asian Koel,train,0
xc369314_13450.wav,Coppersmith Barbet,train,4
xc39156_34007.wav,Collared Kingfisher,train,1
xc301810_31541.wav,Olive-backed Sunbird,train,6
xc149687_5786.wav,Coppersmith Barbet,train,4
xc266132_3112.wav,Yellow-vented Bulbul,train,11
xc311359_37275.wav,Coppersmith Barbet,train,4
xc941512_39385.wav,Large-tailed Nightjar,train,5
xc764945_157892.wav,White-breasted Waterhen,train,9
xc835395_19093.wav,Olive-backed Sunbird,train,6
xc369312_12727.wav,Coppersmith Barbet,train,4
xc44835_9402.wav,Coppersmith Barbet,train,4
xc788680_795.wav,Asian Koel,train,0
xc986408_64278.wav,White-breasted Waterhen,train,9
xc897847_20085.wav,Common Tailorbird,train,3
xc78291_37482.wav,Spotted Dove,train,8
xc879486_0.wav,Spotted Dove,train,8
xc825796_10663.wav,Collared Kingfisher,train,1
xc311271_33505.wav,Asian Koel,train,0
xc441821_6509.wav,Spotted Dove,train,8
xc1003556_5440.wav,Collared Kingfisher,train,1
xc209538_39536.wav,White-throated Kingfisher,train,10
xc311498_4423.wav,Spotted Dove,train,8
xc942724_0.wav,Pied Fantail,train,7
xc583144_38566.wav,White-breasted Waterhen,train,9
xc149687_16207.wav,Coppersmith Barbet,train,4
xc509761_26986.wav,Yellow-vented Bulbul,train,11
xc534388_13851.wav,Asian Koel,train,0
xc783854_3043.wav,White-breasted Waterhen,train,9
